FORWARD_TEXT_FORMAT_1.0
STDEP =   288.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  AC, RT, RI, RXO, CALI, DEN, CNL, GR, SP, RA2, R2M, R025, BZSP
END
#DEPTH            AC         RT         RI        RXO       CALI        DEN        CNL         GR         SP        RA2        R2M       R025       BZSP
 308.5000       7.617      6.031      2.897      0.000     10.768    -30.110      0.000      0.000      6.594      5.133      5.133      2.718      6.594
 308.6250       7.784      6.149      3.504      0.000     10.736    -30.366      0.000      0.000      6.610      5.030      5.030      2.736      6.610
 308.7500       7.591      5.929      3.134      0.000     10.444    -30.326      0.000      0.000      6.671      4.866      4.866      2.819      6.671
 308.8750       7.403      5.727      2.943      0.000     10.185    -30.236      0.000      0.000      6.686      4.688      4.688      2.840      6.686
 309.0000       7.257      5.617      2.816      0.000      9.979    -30.296      0.000      0.000      6.728      4.588      4.588      2.840      6.728
 309.1250       7.202      5.599      2.922      0.000      9.838    -30.390      0.000      0.000      6.738      4.617      4.617      2.820      6.738
 309.2500       7.467      5.733      3.565      0.000      9.768    -30.236      0.000      0.000      6.770      4.777      4.777      2.783      6.770
 309.3750       9.696      7.052      4.191      0.000      9.704    -30.083      0.000      0.000      6.802      5.023      5.023      2.826      6.802
 309.5000      13.526      9.528      4.237      0.000      9.595    -29.929      0.000      0.000      6.832      5.274      5.274      3.002      6.832
 309.6250      17.459     12.029     11.925      0.000      9.463    -29.942      0.000      0.000      6.850      5.455      5.455      3.176      6.850
 309.7500      19.099     13.232     20.294      0.000      9.383    -30.089      0.000      0.000      6.855      5.545      5.545      3.204      6.855
 309.8750      17.017     12.307     21.046      0.000      9.396    -30.348      0.000      0.000      6.905      5.560      5.560      3.228      6.905
 310.0000      11.975      9.437     10.546      0.000      9.461    -30.810      0.000      0.000      6.916      5.533      5.533      3.251      6.916
 310.1250       8.952      7.014      5.036      0.000      9.550    -31.169      0.000      0.000      6.948      5.509      5.509      3.317      6.948
 310.2500       7.288      5.660      3.826      0.000      9.600    -31.568      0.000      0.000      6.939      5.509      5.509      3.348      6.939
 310.3750       6.570      5.070      4.106      0.000      9.631    -31.693      0.000      0.000      6.905      5.546      5.546      3.398      6.905
 310.5000       6.405      4.935      4.216      0.000      9.646    -31.505      0.000      0.000      6.901      5.625      5.625      3.403      6.901
 310.6250       6.442      4.972      3.648      0.000      9.638    -31.193      0.000      0.000      6.887      5.732      5.732      3.420      6.887
 310.7500       6.307      4.901      3.647      0.000      9.619    -31.245      0.000      0.000      6.873      5.857      5.857      3.421      6.873
 310.8750       6.310      4.898      3.635      0.000      9.583    -31.250      0.000      0.000      6.814      5.994      5.994      3.393      6.814
 311.0000       6.426      4.982      3.285      0.000      9.614    -31.180      0.000      0.000      6.798      6.140      6.140      3.386      6.798
