FORWARD_TEXT_FORMAT_1.0
STDEP =   2365.810
ENDEP =   2704.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2385.060      75.061      8.254      8.227     20.088      2.571    115.138     11.193     11.906     15.980    -19.791
2385.185      75.311      8.254      8.228     21.499      2.578    120.088     10.671     11.321     13.009    -19.852
2385.310      75.033      8.253      8.230     22.180      2.587    126.544     10.233     10.838     12.304    -19.891
2385.435      74.756      8.257      8.234     22.093      2.591    131.117     10.029     10.634     12.668    -19.921
2385.560      74.658      8.253      8.210     21.905      2.589    134.292      9.993     10.608     13.449    -19.949
2385.685      74.496      8.245      8.150     21.810      2.588    136.067     10.044     10.666     14.089    -19.977
2385.810      73.992      8.242      8.138     21.801      2.590    135.690     10.128     10.748     14.287    -20.008
2385.935      72.975      8.246      8.215     21.644      2.597    133.310     10.239     10.846     14.164    -20.038
2386.060      71.517      8.247      8.238     20.867      2.602    131.628     10.431     11.024     14.426    -20.062
2386.185      70.406      8.256      8.241     19.281      2.606    123.558     10.719     11.320     16.239    -20.088
2386.310      70.269      8.255      8.244     17.772      2.611    120.061     11.052     11.692     20.114    -20.130
2386.435      71.196      8.263      8.248     16.993      2.611    116.174     11.361     12.047     21.505    -20.175
2386.560      72.968      8.274      8.253     17.288      2.603    113.066     11.528     12.241     19.628    -20.225
2386.685      75.069      8.279      8.254     18.611      2.587    113.510     11.469     12.173     16.012    -20.289
2386.810      76.683      8.282      8.245     20.461      2.573    117.344     11.227     11.890     13.050    -20.396
2386.935      77.103      8.306      8.251     22.035      2.569    127.970     10.793     11.392     12.647    -20.539
2387.060      76.787      8.320      8.269     22.656      2.568    134.399     10.514     11.105     12.465    -20.677
2387.185      76.181      8.325      8.297     22.358      2.567    134.453     10.393     10.998     12.442    -20.832
2387.310      75.440      8.326      8.315     21.618      2.568    128.320     10.418     11.049     12.764    -21.009
2387.435      74.551      8.328      8.314     20.999      2.570    120.720     10.547     11.212     13.502    -21.199
2387.560      73.454      8.325      8.317     20.800      2.569    123.074     10.700     11.382     14.250    -21.375
2387.685      72.131      8.325      8.320     20.793      2.567    124.419     10.884     11.572     13.381    -21.534
2387.810      71.258      8.324      8.317     20.438      2.575    123.612     11.286     12.002     13.945    -21.702
2387.935      70.688      8.326      8.315     19.737      2.591    119.644     11.848     12.600     15.552    -21.859
